Brand,Model Name,Vehicle Status,Year,Availability Start Year,Availability End Year,Real-World Range (km),Energy Efficiency (Wh/km),Battery Capacity (kWh),Vehicle Weight (kg),"Acceleration (0-100 km/h, sec)",Fast Charging Speed (kW),Towing Capacity (kg),Cargo Volume (L),Price (€)
Omoda,E5Omoda E5,Available,2024,2024,,330.0,178.0,58.9,1780.0,7.6,80.0,0.0,380.0,38089.0
Hyundai,IONIQ ElectricHyundai IONIQ Electric,Discontinued,2019,2019,2022,250.0,153.0,38.3,1600.0,9.7,36.0,0.0,357.0,36489.0
Tesla,Model S Dual MotorTesla Model S Dual Motor,Discontinued,2023,2023,2025,575.0,165.0,95.0,2170.0,3.2,140.0,1600.0,798.0,10089.0
Škoda,Enyaq 85 (MY25)Skoda Enyaq 85,Available,2025,2025,,455.0,169.0,77.0,2140.0,6.7,120.0,1000.0,585.0,48089.0
BMW,iX xDrive50BMW iX xDrive50,Discontinued,2021,2021,2025,505.0,208.0,105.2,2580.0,4.6,149.0,2500.0,500.0,10089.0
Volkswagen,ID.4 Pro PerformanceVolkswagen ID.4 Pro Performance,Discontinued,2021,2021,2023,410.0,188.0,77.0,2100.0,8.5,125.0,1000.0,543.0,50989.0
firefly,fireflyfirefly firefly,Available,2025,2025,,240.0,172.0,41.2,1540.0,8.1,65.0,0.0,496.0,29989.0
Tesla,Model 3 PerformanceTesla Model 3 Performance,Discontinued,2020,2020,2022,470.0,162.0,76.0,1910.0,3.6,135.0,0.0,649.0,64589.0
Kia,e-Niro 64 kWhKia e-Niro 64 kWh,Discontinued,2020,2020,2022,375.0,171.0,64.0,1810.0,7.8,64.0,3000.0,451.0,40689.0
Renault,4 E-Tech 52kWh 150hpRenault 4 E-Tech 52kWh 150hp,Available,2025,2025,,315.0,165.0,52.0,1530.0,8.2,70.0,750.0,420.0,31589.0
Leapmotor,C10 AWD 81.9 kWhLeapmotor C10 AWD 81.9 kWh,Available,2025,2025,,380.0,216.0,81.9,2260.0,4.0,120.0,1500.0,435.0,44989.0
Tesla,Model 3 RWD (CATL LFP60)Tesla Model 3 RWD,Discontinued,2021,2021,2023,400.0,143.0,57.0,1830.0,6.1,100.0,1000.0,649.0,45689.0
Mini,Cooper SEMini Cooper SE,Discontinued,2021,2021,2024,180.0,161.0,28.9,1440.0,7.3,44.0,0.0,211.0,37289.0
Dacia,Spring Electric 45Dacia Spring Electric 45,Available,2024,2024,,165.0,152.0,25.0,1000.0,19.1,29.0,0.0,343.0,17689.0
Nissan,Ariya 87kWhNissan Ariya 87kWh,Available,2022,2022,,450.0,193.0,87.0,2120.0,7.6,110.0,750.0,468.0,46489.0
Citroën,C5 Aircross Long RangeCitroen C5 Aircross Long Range,Available,2025,2025,,485.0,200.0,96.9,2240.0,8.8,130.0,1200.0,565.0,41489.0
Nissan,LEAF Extended Range 75 kWh (MY26)Nissan LEAF Extended Range 75 kWh,Available,2026,2026,,455.0,165.0,75.0,1980.0,7.6,100.0,975.0,437.0,42589.0
Peugeot,e-2008 54 kWhPeugeot e-2008 54 kWh,Available,2023,2023,,300.0,169.0,50.8,1620.0,9.1,85.0,0.0,434.0,38789.0
Citroën,ë-C4Citroen e-C4,Discontinued,2021,2021,2024,290.0,160.0,46.3,1630.0,9.7,78.0,0.0,380.0,36289.0
KGM,Torres EVX 80.6 kWh (MY26)KGM Torres EVX 80.6 kWh,Available,2025,2025,,400.0,198.0,79.0,2000.0,8.2,95.0,1500.0,839.0,41289.0
BYD,SEAL 82.5 kWh RWD DesignBYD SEAL 82.5 kWh RWD Design,Available,2023,2023,,480.0,172.0,82.5,2130.0,5.9,100.0,750.0,453.0,50089.0
BYD,SEAL U 87 kWh DesignBYD SEAL U 87 kWh Design,Available,2024,2024,,425.0,205.0,87.0,2220.0,9.6,85.0,1300.0,552.0,45489.0
Audi,A6 Avant e-tron performanceAudi A6 Avant e-tron performance,Available,2024,2024,,575.0,165.0,94.9,2260.0,5.4,200.0,2100.0,529.0,79089.0
Hyundai,IONIQ 5 63 kWh RWD (MY24)Hyundai IONIQ 5 63 kWh RWD,Available,2024,2024,,345.0,174.0,60.0,1950.0,8.5,150.0,750.0,577.0,44289.0
BYD,SEAL U 71.8 kWh ComfortBYD SEAL U 71.8 kWh Comfort,Available,2024,2024,,360.0,199.0,71.8,2090.0,9.3,72.0,1300.0,552.0,42489.0
XPENG,G6 RWD Long Range (MY24)XPENG G6 RWD Long Range,Available,2024,2024,,480.0,182.0,87.5,2100.0,6.7,180.0,1500.0,571.0,49789.0
BMW,i5 eDrive40 SedanBMW i5 eDrive40 Sedan,Discontinued,2023,2023,2025,470.0,173.0,81.2,2200.0,6.0,136.0,1500.0,490.0,78089.0
Tesla,Model S 75DTesla Model S 75D,Discontinued,2016,2016,2019,380.0,191.0,72.5,2180.0,4.4,80.0,0.0,804.0,81989.0
Volkswagen,ID.3 Pro S (MY26)Volkswagen ID.3 Pro S,Available,2025,2025,,475.0,166.0,79.0,1950.0,7.1,135.0,0.0,385.0,41689.0
Mercedes-Benz,CLA 200Mercedes-Benz CLA 200,Available,2025,2025,,400.0,145.0,58.0,2040.0,7.5,125.0,1500.0,506.0,49489.0
Mercedes-Benz,G 580Mercedes-Benz G 580,Available,2024,2024,,395.0,294.0,116.0,3080.0,4.7,150.0,0.0,555.0,10089.0
Audi,e-tron 50 quattroAudi e-tron 50 quattro,Discontinued,2019,2019,2022,280.0,231.0,64.7,2440.0,6.8,114.0,1800.0,660.0,67189.0
Škoda,Enyaq 85 (MY24)Skoda Enyaq 85,Discontinued,2023,2023,2025,450.0,171.0,77.0,2130.0,6.7,120.0,1000.0,585.0,50389.0
